Aggregate tradeId,Price,Quantity,First tradeId,Last tradeId,Timestamp,Was the buyer the maker?,Was the trade the best price match?
176343197,0.03288800,0.04200000,197109980,197109980,2020-10-12 07:45:48.991,True,True
176343198,0.03288800,0.04200000,197109981,197109981,2020-10-12 07:45:48.991,True,True
176343199,0.03288800,0.04200000,197109982,197109982,2020-10-12 07:45:48.991,True,True
176343200,0.03288800,0.04200000,197109983,197109983,2020-10-12 07:45:48.991,True,True
176343201,0.03288800,0.04200000,197109984,197109984,2020-10-12 07:45:48.992,True,True
176343202,0.03288800,0.04200000,197109985,197109985,2020-10-12 07:45:48.992,True,True
176343203,0.03288800,0.04200000,197109986,197109986,2020-10-12 07:45:48.992,True,True
176343204,0.03288800,0.02400000,197109987,197109987,2020-10-12 07:45:48.992,True,True
176343205,0.03288800,0.04200000,197109988,197109988,2020-10-12 07:45:48.992,True,True
176343206,0.03288800,0.04200000,197109989,197109989,2020-10-12 07:45:48.992,True,True
176343207,0.03288800,0.04200000,197109990,197109990,2020-10-12 07:45:48.992,True,True
176343208,0.03288800,0.04200000,197109991,197109991,2020-10-12 07:45:48.993,True,True
176343209,0.03288800,0.04200000,197109992,197109992,2020-10-12 07:45:48.993,True,True
176343210,0.03288800,0.04200000,197109993,197109993,2020-10-12 07:45:48.993,True,True
176343211,0.03288800,0.04200000,197109994,197109994,2020-10-12 07:45:48.993,True,True
176343212,0.03288800,0.04200000,197109995,197109995,2020-10-12 07:45:48.993,True,True
176343213,0.03288800,0.04200000,197109996,197109996,2020-10-12 07:45:48.993,True,True
176343214,0.03288800,0.04200000,197109997,197109997,2020-10-12 07:45:48.993,True,True
176343215,0.03288800,0.04200000,197109998,197109998,2020-10-12 07:45:48.994,True,True
176343216,0.03288800,0.04200000,197109999,197109999,2020-10-12 07:45:48.994,True,True
176343217,0.03288800,0.04200000,197110000,197110000,2020-10-12 07:45:48.995,True,True
176343218,0.03288800,0.04200000,197110001,197110001,2020-10-12 07:45:48.995,True,True
176343219,0.03288800,0.04200000,197110002,197110002,2020-10-12 07:45:48.996,True,True
176343220,0.03288800,0.04200000,197110003,197110003,2020-10-12 07:45:48.997,True,True
176343221,0.03288800,0.02300000,197110004,197110004,2020-10-12 07:45:49.009,True,True
176343222,0.03288700,0.01900000,197110005,197110005,2020-10-12 07:45:49.009,True,True
176343223,0.03288900,0.00400000,197110006,197110006,2020-10-12 07:45:49.988,True,True
176343224,0.03288700,0.72000000,197110007,197110007,2020-10-12 07:45:49.988,True,True
176343225,0.03288700,0.00400000,197110008,197110008,2020-10-12 07:45:49.998,True,True
176343226,0.03288900,1.57200000,197110009,197110009,2020-10-12 07:45:50.192,False,True
176343227,0.03289000,4.90100000,197110010,197110010,2020-10-12 07:45:52.080,False,True
176343228,0.03288800,0.26600000,197110011,197110013,2020-10-12 07:45:52.633,True,True
176343229,0.03289000,2.65300000,197110014,197110014,2020-10-12 07:45:55.130,False,True
176343230,0.03289000,3.23500000,197110015,197110018,2020-10-12 07:45:55.221,False,True
176343231,0.03288900,7.42000000,197110019,197110019,2020-10-12 07:45:56.165,False,True
176343232,0.03288900,4.69300000,197110020,197110020,2020-10-12 07:45:56.263,False,True
176343233,0.03288900,1.43000000,197110021,197110021,2020-10-12 07:45:56.471,False,True
176343234,0.03289000,0.20900000,197110022,197110022,2020-10-12 07:45:56.578,False,True
176343235,0.03289000,0.26800000,197110023,197110023,2020-10-12 07:45:56.697,False,True
176343236,0.03289000,0.98900000,197110024,197110024,2020-10-12 07:45:56.785,False,True
176343237,0.03289000,4.80200000,197110025,197110025,2020-10-12 07:45:56.897,False,True
176343238,0.03288900,0.03900000,197110026,197110026,2020-10-12 07:45:57.987,False,True
176343239,0.03288800,0.44000000,197110027,197110027,2020-10-12 07:45:58.480,False,True
176343240,0.03288800,0.10700000,197110028,197110028,2020-10-12 07:45:58.576,False,True
176343241,0.03288800,3.77000000,197110029,197110029,2020-10-12 07:45:59.444,False,True
176343242,0.03288800,1.15700000,197110030,197110030,2020-10-12 07:45:59.550,False,True
176343243,0.03288800,0.44000000,197110031,197110031,2020-10-12 07:45:59.977,False,True
176343244,0.03288800,0.17600000,197110032,197110032,2020-10-12 07:46:01.629,False,True
176343245,0.03288800,11.74900000,197110033,197110033,2020-10-12 07:46:01.890,False,True
176343246,0.03289000,15.32000000,197110034,197110034,2020-10-12 07:46:02.004,False,True
176343247,0.03289000,0.44100000,197110035,197110035,2020-10-12 07:46:02.096,False,True
176343248,0.03288900,0.20800000,197110036,197110036,2020-10-12 07:46:03.833,True,True
176343249,0.03288800,0.29500000,197110037,197110037,2020-10-12 07:46:03.833,True,True
176343250,0.03288900,12.04200000,197110038,197110038,2020-10-12 07:46:04.744,False,True
176343251,0.03288900,0.10900000,197110039,197110039,2020-10-12 07:46:04.845,False,True
176343252,0.03289000,2.46000000,197110040,197110040,2020-10-12 07:46:04.965,False,True
176343253,0.03289000,0.25400000,197110041,197110041,2020-10-12 07:46:05.070,False,True
176343254,0.03289000,12.05800000,197110042,197110042,2020-10-12 07:46:08.718,False,True
176343255,0.03289100,0.31800000,197110043,197110044,2020-10-12 07:46:08.794,False,True
176343256,0.03289100,3.02000000,197110045,197110045,2020-10-12 07:46:08.882,False,True
176343257,0.03289100,0.43800000,197110046,197110046,2020-10-12 07:46:09.418,False,True
176343258,0.03289100,1.70700000,197110047,197110047,2020-10-12 07:46:09.522,False,True
176343259,0.03289100,3.79700000,197110048,197110048,2020-10-12 07:46:09.638,False,True
176343260,0.03289100,2.14600000,197110049,197110049,2020-10-12 07:46:09.746,False,True
176343261,0.03289100,0.63600000,197110050,197110050,2020-10-12 07:46:12.266,False,True
176343262,0.03289200,0.04500000,197110051,197110051,2020-10-12 07:46:12.372,False,True
176343263,0.03289100,12.06100000,197110052,197110052,2020-10-12 07:46:12.480,False,True
176343264,0.03289100,1.34200000,197110053,197110053,2020-10-12 07:46:13.408,False,True
176343265,0.03289100,0.43800000,197110054,197110054,2020-10-12 07:46:19.026,False,True
176343266,0.03289100,3.03200000,197110055,197110055,2020-10-12 07:46:21.459,False,True
176343267,0.03289100,0.60000000,197110056,197110056,2020-10-12 07:46:22.528,False,True
176343268,0.03289100,0.43600000,197110057,197110057,2020-10-12 07:46:22.578,False,True
176343269,0.03289000,0.00400000,197110058,197110058,2020-10-12 07:46:23.862,True,True
176343270,0.03288900,0.17800000,197110059,197110059,2020-10-12 07:46:23.862,True,True
176343271,0.03288800,0.34700000,197110060,197110060,2020-10-12 07:46:23.862,True,True
176343272,0.03289000,0.71600000,197110061,197110061,2020-10-12 07:46:24.039,False,True
176343273,0.03288900,1.73700000,197110062,197110062,2020-10-12 07:46:25.613,False,True
176343274,0.03288900,5.31200000,197110063,197110063,2020-10-12 07:46:26.133,False,True
176343275,0.03289000,0.60000000,197110064,197110064,2020-10-12 07:46:26.276,False,True
176343276,0.03289500,8.74600000,197110065,197110065,2020-10-12 07:46:26.756,False,True
176343277,0.03289600,3.32500000,197110066,197110068,2020-10-12 07:46:26.973,False,True
176343278,0.03289600,2.43900000,197110069,197110069,2020-10-12 07:46:29.995,False,True
176343279,0.03290000,3.65300000,197110070,197110070,2020-10-12 07:46:29.995,False,True
176343280,0.03289900,2.43900000,197110071,197110071,2020-10-12 07:46:30.146,False,True
176343281,0.03289900,2.34700000,197110072,197110072,2020-10-12 07:46:30.246,False,True
176343282,0.03289900,1.90800000,197110073,197110073,2020-10-12 07:46:30.567,False,True
176343283,0.03289900,5.60300000,197110074,197110074,2020-10-12 07:46:30.572,False,True
176343284,0.03289700,0.15800000,197110075,197110075,2020-10-12 07:46:32.343,True,True
176343285,0.03289700,0.01600000,197110076,197110076,2020-10-12 07:46:33.894,True,True
176343286,0.03289500,0.27200000,197110077,197110077,2020-10-12 07:46:33.894,True,True
176343287,0.03289300,0.37600000,197110078,197110078,2020-10-12 07:46:33.894,True,True
176343288,0.03289900,2.88000000,197110079,197110079,2020-10-12 07:46:34.718,False,True
176343289,0.03290000,2.55200000,197110080,197110080,2020-10-12 07:46:34.801,False,True
176343290,0.03289900,0.71200000,197110081,197110081,2020-10-12 07:46:35.109,False,True
176343291,0.03289900,0.73000000,197110082,197110082,2020-10-12 07:46:35.217,False,True
176343292,0.03289900,0.65700000,197110083,197110083,2020-10-12 07:46:35.323,False,True
